1,Tân Định
1,Đa Kao
1,Bến Nghé
1,Bến Thành
1,Nguyễn Thái Bình
1,Phạm Ngũ Lão
1,Cầu Ông Lãnh
1,Cô Giang
1,Nguyễn Cư Trinh
1,Cầu Kho
12,Thạnh Xuân
12,Thạnh Lộc
12,Hiệp Thành
12,Thới An
12,Tân Chánh Hiệp
12,An Phú Đông
12,Tân Thới Hiệp
12,Trung Mỹ Tây
12,Tân Hưng Thuận
12,Đông Hưng Thuận
12,Tân Thới Nhất
Gò Vấp,15
Gò Vấp,13
Gò Vấp,17
Gò Vấp,6
Gò Vấp,16
Gò Vấp,12
Gò Vấp,14
Gò Vấp,10
Gò Vấp,05
Gò Vấp,07
Gò Vấp,04
Gò Vấp,01
Gò Vấp,9
Gò Vấp,8
Gò Vấp,11
Gò Vấp,03
Bình Thạnh,13
Bình Thạnh,11
Bình Thạnh,27
Bình Thạnh,26
Bình Thạnh,12
Bình Thạnh,25
Bình Thạnh,05
Bình Thạnh,07
Bình Thạnh,24
Bình Thạnh,06
Bình Thạnh,14
Bình Thạnh,15
Bình Thạnh,02
Bình Thạnh,01
Bình Thạnh,03
Bình Thạnh,17
Bình Thạnh,21
Bình Thạnh,22
Bình Thạnh,19
Bình Thạnh,28
Tân Bình,02
Tân Bình,04
Tân Bình,12
Tân Bình,13
Tân Bình,01
Tân Bình,03
Tân Bình,11
Tân Bình,07
Tân Bình,05
Tân Bình,10
Tân Bình,06
Tân Bình,08
Tân Bình,09
Tân Bình,14
Tân Bình,15
Tân Phú,Tân Sơn Nhì
Tân Phú,Tây Thạnh
Tân Phú,Sơn Kỳ
Tân Phú,Tân Quý
Tân Phú,Tân Thành
Tân Phú,Phú Thọ Hòa
Tân Phú,Phú Thạnh
Tân Phú,Phú Trung
Tân Phú,Hòa Thạnh
Tân Phú,Hiệp Tân
Tân Phú,Tân Thới Hòa
Phú Nhuận,04
Phú Nhuận,05
Phú Nhuận,09
Phú Nhuận,07
Phú Nhuận,03
Phú Nhuận,01
Phú Nhuận,02
Phú Nhuận,08
Phú Nhuận,15
Phú Nhuận,10
Phú Nhuận,11
Phú Nhuận,17
Phú Nhuận,13
Thành phố Thủ Đức,Linh Xuân
Thành phố Thủ Đức,Bình Chiểu
Thành phố Thủ Đức,Linh Trung
Thành phố Thủ Đức,Tam Bình
Thành phố Thủ Đức,Tam Phú
Thành phố Thủ Đức,Hiệp Bình Phước
Thành phố Thủ Đức,Hiệp Bình Chánh
Thành phố Thủ Đức,Linh Chiểu
Thành phố Thủ Đức,Linh Tây
Thành phố Thủ Đức,Linh Đông
Thành phố Thủ Đức,Bình Thọ
Thành phố Thủ Đức,Trường Thọ
Thành phố Thủ Đức,Long Bình
Thành phố Thủ Đức,Long Thạnh Mỹ
Thành phố Thủ Đức,Tân Phú
Thành phố Thủ Đức,Hiệp Phú
Thành phố Thủ Đức,Tăng Nhơn Phú A
Thành phố Thủ Đức,Tăng Nhơn Phú B
Thành phố Thủ Đức,Phước Long B
Thành phố Thủ Đức,Phước Long A
Thành phố Thủ Đức,Trường Thạnh
Thành phố Thủ Đức,Long Phước
Thành phố Thủ Đức,Long Trường
Thành phố Thủ Đức,Phước Bình
Thành phố Thủ Đức,Phú Hữu
Thành phố Thủ Đức,Thảo Điền
Thành phố Thủ Đức,An Phú
Thành phố Thủ Đức,An Khánh
Thành phố Thủ Đức,Bình Trưng Đông
Thành phố Thủ Đức,Bình Trưng Tây
Thành phố Thủ Đức,Cát Lái
Thành phố Thủ Đức,Thạnh Mỹ Lợi
Thành phố Thủ Đức,An Lợi Đông
Thành phố Thủ Đức,Thủ Thiêm
3,14
3,12
3,11
3,13
3,Võ Thị Sáu
3,09
3,10
3,04
3,05
3,03
3,02
3,01
10,15
10,13
10,14
10,12
10,11
10,10
10,09
10,01
10,08
10,02
10,04
10,07
10,05
10,06
11,15
11,05
11,14
11,11
11,03
11,10
11,13
11,08
11,09
11,12
11,07
11,06
11,04
11,01
11,02
11,16
4,13
4,09
4,06
4,08
4,10
4,18
4,14
4,04
4,03
4,16
4,02
4,15
4,01
5,04
5,09
5,03
5,12
5,02
5,08
5,07
5,01
5,11
5,14
5,05
5,06
5,10
5,13
6,14
6,13
6,09
6,06
6,12
6,05
6,11
6,02
6,01
6,04
6,08
6,03
6,07
6,10
8,08
8,02
8,01
8,03
8,11
8,09
8,10
8,04
8,13
8,12
8,05
8,14
8,06
8,15
8,16
8,07
Bình Tân,Bình Hưng Hòa
Bình Tân,Bình Hưng Hoà A
Bình Tân,Bình Hưng Hoà B
Bình Tân,Bình Trị Đông
Bình Tân,Bình Trị Đông A
Bình Tân,Bình Trị Đông B
Bình Tân,Tân Tạo
Bình Tân,Tân Tạo A
Bình Tân, An Lạc
Bình Tân,An Lạc A
7,Tân Thuận Đông
7,Tân Thuận Tây
7,Tân Kiểng
7,Tân Hưng
7,Bình Thuận
7,Tân Quy
7,Phú Thuận
7,Tân Phú
7,Tân Phong
7,Phú Mỹ
Huyện Củ Chi,Thị trấn Củ Chi
Huyện Củ Chi,Xã Phú Mỹ Hưng
Huyện Củ Chi,Xã An Phú
Huyện Củ Chi,Xã Trung Lập Thượng
Huyện Củ Chi,Xã An Nhơn Tây
Huyện Củ Chi,Xã Nhuận Đức
Huyện Củ Chi,Xã Phạm Văn Cội
Huyện Củ Chi,Xã Phú Hòa Đông
Huyện Củ Chi,Xã Trung Lập Hạ
Huyện Củ Chi,Xã Trung An
Huyện Củ Chi,Xã Phước Thạnh
Huyện Củ Chi,Xã Phước Hiệp
Huyện Củ Chi,Xã Tân An Hội
Huyện Củ Chi,Xã Phước Vĩnh An
Huyện Củ Chi,Xã Thái Mỹ
Huyện Củ Chi,Xã Tân Thạnh Tây
Huyện Củ Chi,Xã Hòa Phú
Huyện Củ Chi,Xã Tân Thạnh Đông
Huyện Củ Chi,Xã Bình Mỹ
Huyện Củ Chi,Xã Tân Phú Trung
Huyện Củ Chi,Xã Tân Thông Hội
Huyện Hóc Môn,Thị trấn Hóc Môn
Huyện Hóc Môn,Xã Tân Hiệp
Huyện Hóc Môn,Xã Nhị Bình
Huyện Hóc Môn,Xã Đông Thạnh
Huyện Hóc Môn,Xã Tân Thới Nhì
Huyện Hóc Môn,Xã Thới Tam Thôn
Huyện Hóc Môn,Xã Xuân Thới Sơn
Huyện Hóc Môn,Xã Tân Xuân
Huyện Hóc Môn,Xã Xuân Thới Đông
Huyện Hóc Môn,Xã Trung Chánh
Huyện Hóc Môn,Xã Xuân Thới Thượng
Huyện Hóc Môn,Xã Bà Điểm
Huyện Bình Chánh,Thị trấn Tân Túc
Huyện Bình Chánh,Xã Phạm Văn Hai
Huyện Bình Chánh,Xã Vĩnh Lộc A
Huyện Bình Chánh,Xã Vĩnh Lộc B
Huyện Bình Chánh,Xã Bình Lợi
Huyện Bình Chánh,Xã Lê Minh Xuân
Huyện Bình Chánh,Xã Tân Nhựt
Huyện Bình Chánh,Xã Tân Kiên
Huyện Bình Chánh,Xã Bình Hưng
Huyện Bình Chánh,Xã Phong Phú
Huyện Bình Chánh,Xã An Phú Tây
Huyện Bình Chánh,Xã Hưng Long
Huyện Bình Chánh,Xã Đa Phước
Huyện Bình Chánh,Xã Tân Quý Tây
Huyện Bình Chánh,Xã Bình Chánh
Huyện Bình Chánh,Xã Quy Đức
Huyện Nhà Bè,Thị trấn Nhà Bè
Huyện Nhà Bè,Xã Phước Kiển
Huyện Nhà Bè,Xã Phước Lộc
Huyện Nhà Bè,Xã Nhơn Đức
Huyện Nhà Bè,Xã Phú Xuân
Huyện Nhà Bè,Xã Long Thới
Huyện Nhà Bè,Xã Hiệp Phước
Huyện Cần Giờ,Thị trấn Cần Thạnh
Huyện Cần Giờ,Xã Bình Khánh
Huyện Cần Giờ,Xã Tam Thôn Hiệp
Huyện Cần Giờ,Xã An Thới Đông
Huyện Cần Giờ,Xã Thạnh An
Huyện Cần Giờ,Xã Long Hòa
Huyện Cần Giờ,Xã Lý Nhơn
